Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C8,1,P,0,1,SM,0.0251,0.023,6.1186,0.0457,7.4492,0.3352,1.2032,0.2908,3.1348,0.9253,0.0182,0.0155,,0.4946,0.0065,6.453,76.65,27,5.75,1883
BEF,C8,1,P,0,1,YB,0.0171,0.0346,16.4017,0.0515,6.2131,2.1643,2.3625,2.6412,1.8865,0.7501,0.0614,0.2888,Reran and averaged,0.4776,0.0064,6.385,74.81,9,1.52,1883
BEF,C8,2,Control,0,0,BE,0.0221,0.0119,6.5466,0.0277,3.7726,0.9175,1.0554,0.346,0.4723,0.5972,0.0191,0.0269,,0.5142,0.0052,5.182,99.23,27,5.39,1883
BEF,C8,2,Control,0,0,SM,0.0173,0.017,11.9013,0.04,6.6977,0.9769,1.5142,5.7771,0.5944,0.9461,0.0506,0.0195,,0.4931,0.0043,4.345,113.49,27,7.83,1883
BEF,C8,2,Control,0,0,YB,0.0126,0.0252,12.3346,0.0433,7.6573,1.9249,2.5828,0.164,1.0099,0.7306,0.0459,0.2824,Reran and averaged,0.4902,0.0072,7.189,68.19,29,8.24,1883
BEF,C8,3,N,1,0,BE,0.0245,0.014,7.148,0.0326,3.2637,1.1016,1.3352,4.4595,0.5192,0.6759,0.0196,0.0272,,0.5008,0.0062,6.165,81.24,27,4.1,1883
BEF,C8,3,N,1,0,SM,0.031,0.017,5.099,0.0451,4.8944,0.4373,1.239,0.282,0.3744,0.7105,0.0205,0.012,,0.4984,0.0066,6.599,75.74,23,5.15,1883
BEF,C8,3,N,1,0,YB,0.0164,0.0218,11.8216,0.0397,6.1146,2.3729,2.7906,0.2843,0.5808,0.6489,0.0363,0.236,,0.4953,0.007,7.023,70.52,26,4.64,1883
BEF,C8,4,NP,1,1,BE,0.0241,0.0127,7.6472,0.0322,4.0197,0.9571,1.745,4.274,0.5982,0.6725,0.0136,0.0262,,0.4912,0.0065,6.482,75.78,28,4.64,1883
BEF,C8,4,NP,1,1,SM,0.0299,0.0176,4.4622,0.049,5.7364,0.3398,1.5562,5.9919,1.1486,0.8481,0.0096,0.0132,,0.4852,0.0086,8.553,56.73,28,8.91,1883
BEF,C8,4,NP,1,1,YB,0.0117,0.0216,6.1305,0.0348,5.7587,0.8019,2.0119,0.2731,1.1233,0.5572,0.0124,0.1031,,0.5114,0.0079,7.893,64.79,28,8.02,1883
BEF,C8,5,Ca,0,0,BE,0.0238,0.0135,11.4237,0.0286,3.29,0.7202,1.1123,0.3906,0.2891,0.7254,0.0169,0.0269,,0.4978,0.0048,4.815,103.38,27,4.18,1883
